# KrakenUniq v1.0.4 DATE:2025-12-14T23:05:34Z DB:/mnt/data/standard_db DB_SIZE:404451462724 WD:/mgvd
# CL:/opt/conda/bin/krakenuniq --db /mnt/data/standard_db --threads 8 --report IMMSA_evaluation/krakenuniq_quick/HMP_even_454_SRR072233_REPORT.tsv --output IMMSA_evaluation/krakenuniq_quick/HMP_even_454_SRR072233_OUTPUT.tsv --quick /mnt/data/IMMSA/HMP_even_454_SRR072233.fastq.gz
%	reads	taxReads	kmers	dup	cov	taxID	rank	taxName
0.2507	3475	3475	7305224	1.37	NA	0	no rank	unclassified
99.75	1382723	2853	876576	1.58	2.601e-05	1	no rank	root
98.98	1372077	94	871504	1.57	2.61e-05	131567	no rank	  cellular organisms
98.38	1363765	6666	866088	1.57	2.896e-05	2	superkingdom	    Bacteria
65.51	908111	1168	568646	1.6	5.022e-05	1783272	clade	      Terrabacteria group
37.56	520704	0	318396	1.64	0.002653	1297	phylum	        Deinococcus-Thermus
37.56	520704	363	318396	1.64	0.002653	188787	class	          Deinococci
37.53	520300	0	318162	1.64	0.003954	118964	order	            Deinococcales
37.53	520300	0	318162	1.64	0.003954	183710	family	              Deinococcaceae
37.53	520300	49110	318162	1.64	0.003954	1298	genus	                Deinococcus
33.85	469218	468956	289164	1.62	0.09592	1299	species	                  Deinococcus radiodurans
0.01652	229	229	158	1.45	0.007004	243230	strain	                    Deinococcus radiodurans R1
0.002381	33	33	23	1.43	0.01076	1408434	strain	                    Deinococcus radiodurans ATCC 13939
0.07034	975	769	591	1.65	0.0001273	980427	species	                  Deinococcus wulumuqiensis
0.01486	206	206	124	1.66	8.905e-05	1288484	strain	                    Deinococcus wulumuqiensis R12
0.01803	250	3	168	1.49	7.553e-06	2623546	no rank	                  unclassified Deinococcus
0.007575	105	105	64	1.64	1.934e-05	2080419	species	                    Deinococcus sp. NW-56
0.002958	41	41	24	1.71	4.882e-06	2917691	species	                    Deinococcus sp. KNUC1210
0.002886	40	40	29	1.38	7.644e-06	2652443	species	                    Deinococcus sp. AJ005
0.002525	35	35	26	1.35	5.9e-06	2737050	species	                    Deinococcus sp. TS-293
0.001876	26	26	22	1.18	3.793e-06	2939437	species	                    Deinococcus sp. QL22
0.009811	136	0	88	1.55	2.1e-05	502394	species	                  Deinococcus gobiensis
0.009811	136	136	88	1.55	2.1e-05	745776	strain	                    Deinococcus gobiensis I-0
0.00844	117	117	60	1.95	1.839e-05	57497	species	                  Deinococcus radiopugnans
0.006204	86	86	48	1.79	1.639e-05	2202254	species	                  Deinococcus irradiatisoli
0.00404	56	56	42	1.33	8.382e-06	1768108	species	                  Deinococcus actinosclerus
0.00404	56	56	40	1.4	1.005e-05	317577	species	                  Deinococcus ficus
0.003968	55	0	35	1.57	1.282e-05	55148	species	                  Deinococcus proteolyticus
0.003968	55	55	35	1.57	1.282e-05	693977	strain	                    Deinococcus proteolyticus MRP
0.003318	46	0	32	1.44	1.036e-05	68909	species	                  Deinococcus geothermalis
0.003318	46	46	32	1.44	1.036e-05	319795	strain	                    Deinococcus geothermalis DSM 11300
0.002669	37	0	25	1.48	6.649e-06	310783	species	                  Deinococcus deserti
0.002669	37	37	25	1.48	6.649e-06	546414	strain	                    Deinococcus deserti VCD115
0.002453	34	0	19	1.79	5.582e-06	309887	species	                  Deinococcus maricopensis
0.002453	34	34	19	1.79	5.582e-06	709986	strain	                    Deinococcus maricopensis DSM 21211
0.001876	26	26	18	1.44	7.457e-06	1309411	species	                  Deinococcus soli (ex Cha et al. 2016)
0.001876	26	0	17	1.53	3.861e-06	432329	species	                  Deinococcus peraridilitoris
