45667	0.0015932809161079147	1949	genus	Halobacillus
1386	7.357377242160715e-06	9	genus	Bacillus
84406	2.452459080720238e-06	3	genus	Virgibacillus
2675229	8.174863602400794e-07	1	genus	Peribacillus
2675230	8.174863602400794e-07	1	genus	Cytobacillus
1279	0.028039782156234722	34300	genus	Staphylococcus
2803850	1.6349727204801588e-06	2	genus	Mammaliicoccus
69965	1.6349727204801588e-06	2	genus	Macrococcus
44249	3.2699454409603176e-06	4	genus	Paenibacillus
55080	8.174863602400794e-07	1	genus	Brevibacillus
55079	8.174863602400794e-07	1	genus	Aneurinibacillus
1372	8.174863602400794e-07	1	genus	Planococcus
1378	8.174863602400794e-07	1	genus	Gemella
1129704	8.174863602400794e-07	1	genus	Kyrpidia
1578	1.6349727204801588e-06	2	genus	Lactobacillus
2767842	1.6349727204801588e-06	2	genus	Lactiplantibacillus
2767889	8.174863602400794e-07	1	genus	Loigolactobacillus
1301	2.452459080720238e-06	3	genus	Streptococcus
1357	3.2699454409603176e-06	4	genus	Lactococcus
1350	1.1444809043361111e-05	14	genus	Enterococcus
2737	8.174863602400794e-07	1	genus	Vagococcus
1485	1.6349727204801588e-06	2	genus	Clostridium
33951	1.6349727204801588e-06	2	genus	Acetobacterium
1730	8.174863602400794e-07	1	genus	Eubacterium
79206	1.6349727204801588e-06	2	genus	Desulfosporosinus
207244	8.174863602400794e-07	1	genus	Anaerostipes
28895	8.174863602400794e-07	1	genus	Thermoanaerobacterium
165779	1.6349727204801588e-06	2	genus	Anaerococcus
1269	0.027718510016660373	33907	genus	Micrococcus
1663	8.992349962640874e-06	11	genus	Arthrobacter
57493	5.722404521680556e-06	7	genus	Kocuria
1742989	3.2699454409603176e-06	4	genus	Glutamicibacter
33882	4.904918161440476e-06	6	genus	Microbacterium
55968	8.174863602400794e-07	1	genus	Leucobacter
1696	1.0627322683121033e-05	13	genus	Brevibacterium
43668	1.6349727204801588e-06	2	genus	Brachybacterium
36739	8.174863602400794e-07	1	genus	Dermabacter
265976	1.6349727204801588e-06	2	genus	Serinicoccus
157920	8.174863602400794e-07	1	genus	Cellulosimicrobium
907364	1.6349727204801588e-06	2	genus	Phytohabitans
1716	7.357377242160715e-06	9	genus	Corynebacterium
1763	1.6349727204801588e-06	2	genus	Mycobacterium
1912215	8.174863602400794e-07	1	genus	Acidipropionibacterium
72763	1.6349727204801588e-06	2	genus	Tessaracoccus
1839	4.904918161440476e-06	6	genus	Nocardioides
1883	8.174863602400793e-06	10	genus	Streptomyces
2063	8.174863602400794e-07	1	genus	Kitasatospora
1654	8.174863602400794e-07	1	genus	Actinomyces
1522056	3.2699454409603176e-06	4	genus	Flaviflexus
28263	1.6349727204801588e-06	2	genus	Arcanobacterium
1813	8.174863602400794e-07	1	genus	Amycolatopsis
40566	8.174863602400794e-07	1	genus	Actinosynnema
2071	8.174863602400794e-07	1	genus	Saccharothrix
1678	4.904918161440476e-06	6	genus	Bifidobacterium
88138	8.174863602400794e-07	1	genus	Modestobacter
2039639	1.6349727204801588e-06	2	genus	Candidatus Nanopelagicus
447020	8.174863602400794e-07	1	genus	Adlercreutzia
42255	2.452459080720238e-06	3	genus	Rubrobacter
33926	1.6349727204801588e-06	2	genus	Candidatus Phytoplasma
2132	8.174863602400794e-07	1	genus	Spiroplasma
270	1.6349727204801588e-06	2	genus	Thermus
65551	8.174863602400794e-07	1	genus	Meiothermus
1298	3.2699454409603176e-06	4	genus	Deinococcus
561	0.005304668991597875	6489	genus	Escherichia
620	4.904918161440476e-06	6	genus	Shigella
570	4.986666797464484e-05	61	genus	Klebsiella
160674	6.539890881920635e-06	8	genus	Raoultella
544	5.640655885656548e-05	69	genus	Citrobacter
590	1.471475448432143e-05	18	genus	Salmonella
547	3.433442713008334e-05	42	genus	Enterobacter
83654	1.471475448432143e-05	18	genus	Leclercia
413496	8.992349962640874e-06	11	genus	Cronobacter
1330547	5.722404521680556e-06	7	genus	Kosakonia
158483	2.452459080720238e-06	3	genus	Cedecea
82976	1.6349727204801588e-06	2	genus	Buttiauxella
53335	2.452459080720238e-06	3	genus	Pantoea
551	3.2699454409603176e-06	4	genus	Erwinia
613	8.992349962640874e-06	11	genus	Serratia
629	1.6349727204801588e-06	2	genus	Yersinia
122277	3.2699454409603176e-06	4	genus	Pectobacterium
204037	1.6349727204801588e-06	2	genus	Dickeya
626	8.174863602400794e-07	1	genus	Xenorhabdus
568	8.174863602400794e-07	1	genus	Hafnia
635	1.6349727204801588e-06	2	genus	Edwardsiella
84565	8.174863602400794e-07	1	genus	Sodalis
286	0.060815262797340223	74393	genus	Pseudomonas
2742	8.174863602400794e-07	1	genus	Marinobacter
469	4.005683165176389e-05	49	genus	Acinetobacter
475	8.174863602400794e-07	1	genus	Moraxella
642	8.174863602400794e-07	1	genus	Aeromonas
662	2.452459080720238e-06	3	genus	Vibrio
53246	3.2699454409603176e-06	4	genus	Pseudoalteromonas
1030	8.174863602400794e-07	1	genus	Thiothrix
48073	8.174863602400794e-07	1	genus	Microbulbifer
713	8.174863602400794e-07	1	genus	Actinobacillus
1273155	8.174863602400794e-07	1	genus	Thiohalobacter
1335745	8.174863602400794e-07	1	genus	Spiribacter
416	1.6349727204801588e-06	2	genus	Methylomonas
374	0.0007561748832220735	925	genus	Bradyrhizobium
68287	3.18819680493631e-05	39	genus	Mesorhizobium
379	3.2699454409603176e-06	4	genus	Rhizobium
28209	8.174863602400794e-07	1	genus	Chelatococcus
41275	8.174863602400794e-07	1	genus	Brevundimonas
32008	8.174863602400794e-07	1	genus	Burkholderia
93217	5.722404521680556e-06	7	genus	Pandoraea
1822464	1.6349727204801588e-06	2	genus	Paraburkholderia
238749	3.2699454409603176e-06	4	genus	Diaphorobacter
12916	1.6349727204801588e-06	2	genus	Acidovorax
507	2.452459080720238e-06	3	genus	Alcaligenes
222	8.174863602400794e-07	1	genus	Achromobacter
535	8.174863602400794e-07	1	genus	Chromobacterium
2803845	8.174863602400794e-07	1	genus	Usitatibacter
501783	5.722404521680556e-06	7	genus	Cloacibacterium
252356	8.174863602400794e-07	1	genus	Maribacter
34098	8.174863602400794e-07	1	genus	Blattabacterium
273135	8.174863602400794e-07	1	genus	Candidatus Cardinium
838	8.174863602400794e-07	1	genus	Prevotella
28453	1.6349727204801588e-06	2	genus	Sphingobacterium
157	4.904918161440476e-06	6	genus	Treponema
171	8.174863602400794e-07	1	genus	Leptospira
160798	8.174863602400794e-07	1	genus	Marinitoga
1408194	2.452459080720238e-06	3	genus	Endomicrobium
13	1.6349727204801588e-06	2	genus	Dictyoglomus
2273	8.174863602400794e-07	1	genus	Desulfurococcus
2251	8.174863602400794e-07	1	genus	Haloferax
1910952	8.174863602400794e-07	1	genus	Gequatrovirus
